platform,id,name,repo_url,pagerank,truckfactor,criticality_score,created_since(m),updated_since(m),contributor_count,org_count,commit_frequency(y),recent_releases_count(y),closed_issues_count(90d),updated_issues_count(90d),comment_frequency,dependents_count
Cargo,381274,rand,https://github.com/rust-random/rand,627.581025232951,2.0,0.63718,127.0,0.0,224.0,2.0,4.0,13.0,42.0,50.0,3.8,891.0
Cargo,10068,serde,https://github.com/serde-rs/serde,603.1349510893224,1.0,0.66121,87.0,0.0,144.0,7.0,2.3,14.0,22.0,84.0,1.1,7251.0
Cargo,888934,serde_derive,https://github.com/serde-rs/serde,536.5364758728595,1.0,0.66121,87.0,0.0,144.0,7.0,2.3,14.0,22.0,84.0,1.1,7251.0
Cargo,10217,winapi,https://github.com/retep998/winapi-rs,509.8838056373642,1.0,0.52153,77.0,1.0,159.0,4.0,0.7,1.0,6.0,49.0,1.1,768.0
Cargo,1884048,rustc-std-workspace-core,,454.43265783765236,,,,,,,,,,,,
Cargo,8708,libc,https://github.com/rust-lang/libc,452.9567201039288,2.0,0.71478,73.0,0.0,434.0,3.0,8.0,13.0,119.0,181.0,5.1,2922.0
Cargo,1238996,proc-macro2,https://github.com/alexcrichton/proc-macro2,357.10144866139166,1.0,0.54151,44.0,0.0,23.0,6.0,3.6,17.0,5.0,7.0,1.9,622.0
Cargo,8733,log,https://github.com/rust-lang/log,307.3952107894534,2.0,0.5528,74.0,0.0,84.0,8.0,0.8,1.0,16.0,30.0,1.3,621.0
Cargo,896537,quote,https://github.com/dtolnay/quote,288.69620641171934,1.0,0.49879,53.0,0.0,20.0,7.0,0.8,6.0,6.0,6.0,1.5,335.0
Cargo,461289,unicode-xid,https://github.com/unicode-rs/unicode-xid,277.84847123891143,1.0,0.28456,69.0,6.0,12.0,4.0,0.1,1.0,0.0,0.0,0.0,35.0
Cargo,904677,syn,https://github.com/dtolnay/syn,222.08047596164985,1.0,0.60562,53.0,0.0,70.0,5.0,8.5,44.0,46.0,55.0,0.5,1696.0
Cargo,488820,clippy,https://github.com/rust-lang-nursery/rust-clippy,215.02493584615985,10.0,0.77261,75.0,0.0,549.0,5.0,36.6,29.0,430.0,696.0,3.8,1399.0
Cargo,9996,regex,https://github.com/rust-lang/regex,207.32006771384928,1.0,0.62001,74.0,0.0,145.0,4.0,1.5,19.0,31.0,41.0,1.8,1855.0
Cargo,8698,lazy_static,https://github.com/rust-lang-nursery/lazy-static.rs,199.32156395554196,1.0,0.48619,80.0,2.0,48.0,10.0,0.2,1.0,6.0,10.0,1.3,254.0
Cargo,9981,quickcheck,https://github.com/BurntSushi/quickcheck,173.26398607555058,1.0,0.53954,83.0,0.0,82.0,4.0,0.3,16.0,17.0,19.0,1.8,154.0
Cargo,10026,rustc-serialize,https://github.com/rust-lang/rustc-serialize,171.10959665056598,1.0,0.26639,74.0,40.0,61.0,5.0,0.0,1.0,0.0,0.0,0.0,7.0
Cargo,564874,serde_json,https://github.com/serde-rs/json,144.5248706528917,1.0,0.64357,69.0,0.0,87.0,8.0,4.6,17.0,20.0,38.0,1.2,3665.0
Cargo,44327,spin,https://github.com/mvdnes/spin-rs,136.4286319039468,1.0,0.43378,79.0,1.0,30.0,3.0,0.8,0.0,22.0,29.0,1.7,102.0
Cargo,9897,num,https://github.com/rust-num/num,111.0957594180244,2.0,0.53689,77.0,2.0,85.0,7.0,0.2,12.0,3.0,4.0,1.8,746.0
Cargo,1335597,rand_core,https://github.com/rust-random/rand,104.02673128215828,2.0,0.63718,127.0,0.0,224.0,2.0,4.0,13.0,42.0,50.0,3.8,891.0
